UF,DESTINO,TIPO,INDICEGERAL,INFRAESTRUTURA_GERAL,ACESSO,SERVICOS_E_EQUIPAMENTOS_TURISTICOS,ATRATIVOS_TURISTICOS,MARKETING_E_PROMOCAO_DO_TURISMO,POLITICAS_PUBLICAS,COOPERACAO_REGIONAL,MONITORAMENTO,ECONOMIA_LOCAL,CAPACIDADE_EMPRESARIAL,ASPECTOS_SOCIAIS,ASPECTOS_AMBIENTAIS,ASPECTOS_CULTURAIS,ANO
GO,Alto Paraíso de Goiás,Não capital,"43,6","63,7","40,4","31,9","66,6",25,"55,1","41,8",20,44,"14,4","51,6","55,2","45,7",2009
RJ,Angra dos Reis,Não capital,"55,7",51,"67,9","42,3","62,3","36,4","47,6","61,5","55,8","54,6","64,2","64,3","62,6","52,4",2009
SE,Aracaju,Capital,"56,4",67,"67,9","41,8","58,4","42,1","61,9","52,6","29,5","49,8","81,4","62,6","50,4","55,2",2009
CE,Aracati,Não capital,"42,6","53,4",42,22,"54,1","20,9","42,5","45,9","16,9","46,7","48,2","48,3","48,4","61,8",2009
RJ,Armação dos Búzios,Não capital,"46,7",51,"48,1","40,6","60,4","55,1","51,5","30,3","23,9","46,2","50,5","46,6","53,8","37,7",2009
SC,Balneário Camboriú,Não capital,"62,9","66,7",67,"62,6","67,2",61,"63,4","51,8","74,8","41,6","62,8","69,9",65,"59,5",2009
AM,Barcelos,Não capital,34,"40,2","34,8","13,1","63,2","11,5",30,37,"22,2","48,6","13,9","40,2","55,9",29,2009
MA,Barreirinhas,Não capital,"41,1","45,2",38,"30,5","62,2","25,2","64,2","38,3","19,5","37,6","17,4","54,9","54,3",42,2009
PA,Belém,Capital,"66,3","73,2","70,3","63,6","73,2","64,3","47,3","49,2",46,"65,4","77,8","66,2","74,4","77,7",2009
MG,Belo Horizonte,Capital,"72,6","80,6","73,1",72,"60,3","88,7","69,1","50,5","74,5","78,5","89,8","72,3","70,1","61,4",2009
RS,Bento Gonçalves,Não capital,"60,3","75,5","57,9","61,4","64,6",35,"64,6","63,3","30,6","70,7","64,9","59,5","66,4","59,3",2009
RR,Boa Vista,Capital,"52,1","65,9","61,2","52,5","45,9","63,4","44,4",28,"31,5","36,1",56,"56,7","64,7","52,1",2009
