Latente_1,Latente_2,Ano,UF
0.595748,0.93057275,2009,GO
0.6484537,0.3754953,2009,RJ
0.6954406,1.151635,2009,SE
0.26366258,0.8333791,2009,CE
0.48407692,0.61180604,2009,RJ
1.163446,0.77454764,2009,SC
0.1435839,0.47050273,2009,AM
0.3227432,0.49818295,2009,MA
1.3920269,0.7531774,2009,PA
1.6151475,1.2287911,2009,MG
1.3027991,1.0688288,2009,RS
1.0010625,0.8039135,2009,RR
0.5169389,0.72533035,2009,MS
1.4341571,0.82497466,2009,DF
0.49688533,0.9841477,2009,MT
0.8240207,0.7152601,2009,GO
0.8233645,1.0470712,2009,MS
0.65947634,0.87370604,2009,MS
1.1128463,1.2272949,2009,MT
1.663471,0.7859672,2009,PR
1.0031238,1.0343976,2009,MG
1.0246029,0.726698,2009,PE
1.6740195,1.1610587,2009,SC
1.2508696,1.6392767,2009,CE
1.5030731,0.7115751,2009,PR
1.3302095,0.83910197,2009,GO
1.030751,1.1051261,2009,RS
0.7167855,0.8639044,2009,SP
0.065081574,1.5061002,2009,PE
0.36896726,0.6251643,2009,CE
1.3847874,1.331822,2009,PB
0.76762855,0.6975672,2009,BA
0.87706673,0.14245413,2009,AP
1.2415528,0.36937046,2009,AL
1.2175909,0.62231517,2009,AM
0.6480405,0.6612994,2009,AL
0.09149919,0.22836156,2009,BA
0.3380195,0.5599855,2009,BA
0.046849117,0.0,2009,TO
1.326268,0.26044405,2009,RN
0.27156925,0.7646496,2009,CE
0.9328077,0.66736907,2009,MG
1.0598153,0.7521562,2009,TO
1.0591054,0.86637837,2009,PR
0.7714197,1.1815368,2009,RJ
0.62057763,0.32400388,2009,AM
0.47402024,0.98658466,2009,PI
0.93868995,0.656997,2009,RJ
0.74584055,0.84261215,2009,GO
1.4955616,1.2247901,2009,RS
0.94429797,0.24791436,2009,BA
0.5730261,0.40284157,2009,RO
1.4592645,1.6505235,2009,PE
0.7475476,0.66124815,2009,AC
1.6534897,1.3752608,2009,RJ
1.5008844,0.8037775,2009,BA
0.75327903,0.9096774,2009,PA
0.22118142,1.6805795,2009,SC
1.1011628,0.44628608,2009,MA
1.7948208,1.4589674,2009,SP
0.49173042,0.72543716,2009,PI
0.8198714,0.49298555,2009,PI
0.71027404,0.13067822,2009,RN
0.6614896,0.8966399,2009,MG
1.1865405,1.4108013,2009,ES
0.57548815,1.038545,2008,GO
0.5472193,0.30133164,2008,RJ
0.6412584,1.3398541,2008,SE
0.13551605,0.853312,2008,CE
0.41493812,0.54520917,2008,RJ
1.1223048,0.46789515,2008,SC
0.2665021,0.4638086,2008,AM
0.27869686,0.4840514,2008,MA
1.3244958,0.9902278,2008,PA
1.6212683,1.2614602,2008,MG
1.2922041,1.1645778,2008,RS
0.9161973,0.8076168,2008,RR
0.43296733,0.7480766,2008,MS
1.2238472,0.49644446,2008,DF
0.4989725,0.9478,2008,MT
0.7540882,0.73918885,2008,GO
0.71783125,1.0651015,2008,MS
0.47745416,1.0715079,2008,MS
1.0235057,1.2359222,2008,MT
1.6312172,1.0029382,2008,PR
0.9145166,1.0868621,2008,MG
1.0231872,0.7595703,2008,PE
1.4059296,1.2763603,2008,SC
1.0318478,1.7813914,2008,CE
1.4091148,0.6107295,2008,PR
1.2263671,0.91195154,2008,GO
0.9441654,1.1652899,2008,RS
0.691045,0.8600053,2008,SP
0.0006631324,1.5044776,2008,PE
0.2958734,0.6856879,2008,CE
1.3834103,1.1191015,2008,PB
0.7716528,0.8930214,2008,BA
0.7848909,0.18616451,2008,AP
1.1347172,0.5410243,2008,AL
1.2592473,0.80713356,2008,AM
0.5375334,0.6561353,2008,AL
0.0,0.5316987,2008,BA
0.24488515,0.58852834,2008,BA
0.008694748,0.0,2008,TO
1.2202599,0.21781017,2008,RN
0.19208421,0.973596,2008,CE
0.8311057,0.57187164,2008,MG
0.95183027,0.75296915,2008,TO
0.90371346,1.0124115,2008,PR
0.65812063,1.17432,2008,RJ
0.42641744,0.4776039,2008,AM
0.5649426,0.95223385,2008,PI
